"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Swedbank AB A","0.26","EQUITY","SWED A","Large Value","2007-12-31","2371999","234520","Financial Services","57890666","212","-0.3|-0.14%","215.5-211.7","945411","234-176.7","Sweden","1.14","26.76","11.29","18.11","236423.55","SEK","4","2.36","12.61","-","-","-"
"Essilor International SA","0.26","EQUITY","EI","Large Growth","1990-09-30","452458","43120","Healthcare","57558540","109.1","-2.5|-2.24%","111.5-108.7","466473","122.15-93.41","France","-4.92","-6.99","16.13","10.4","24164.58","EUR","2","5.36","30.08","-","-","-"
"Kering SA","0.25","EQUITY","KER","Large Growth","2006-06-30","164772","13498","Consumer Cyclical","56106953","295","1.55|0.53%","296.85-292.8","100301","314.5-167.85","France","4.22","86.28","25.99","21.03","37056.67","EUR","2","39.73","44.8","-","-","-"
"Unibail-Rodamco SE","0.25","EQUITY","UL","Large Core","2017-02-28","220266","20226","Real Estate","55502058","212.5","-0.95|-0.45%","213.75-212.3","95446","250.55-203.1","France","-3.06","-7.62","6.27","10.55","21310.17","EUR","-","-1.37","8.34","-","-","-"
"Amadeus IT Group SA A","0.25","EQUITY","AMS","Large Growth","2010-12-31","920974","77678","Technology","55052010","52.86","0.1|0.19%","53.02-52.71","119786","55.57-39.69","Spain","7.68","34.62","22.22","26.77","23072.34","EUR","2","24.39","26.25","-","-","-"
"Atlas Copco AB A","0.25","EQUITY","ATCO A","Large Growth","2003-03-31","1421939","165585","Industrials","54676091","294.9","-1.5|-0.51%","297.4-293.9","679674","343.3-233.5","Sweden","-10.51","25.65","14.01","16.35","347934.91","SEK","2","8.04","23.01","-","-","-"
"Koninklijke Ahold Delhaize NV","0.24","EQUITY","AD","Large Core","2016-10-31","2835430","272090","Consumer Defensive","54120632","17.34","-0.08|-0.43%","17.42-17.24","1500571","22.2-15.84","Netherlands","-8.44","-15.64","13.52","15.12","21592.67","EUR","4","-10.21","20.73","-","-","-"
"Henkel AG & Co KGaA Pfd Shs - Non-voting","0.24","EQUITY","HEN3","Large Growth","2015-04-30","387858","35360","Consumer Defensive","53483300","120.55","1.2|1.01%","120.65-119.05","154521","129.9-105.25","Germany","-4.52","9.38","13.82","16.59","48206.95","EUR","2","6.82","24.41","-","-","-"
"Infineon Technologies AG","0.24","EQUITY","IFX","Large Growth","2009-09-30","2517099","230862","Technology","53464736","18.48","0.09|0.46%","18.49-17.83","4217842","20.49-13.56","Germany","-3.18","25.02","28.82","28.41","20771.67","EUR","3","12.75","27.05","-","-","-"
"Sampo Oyj A","0.24","EQUITY","SAMPO","Large Value","1995-03-31","1038154","84702","Financial Services","53263243","46.24","0.06|0.13%","46.31-46.08","105703","47.46-35.93","Finland","4.98","31.28","11.81","20.68","25860.8","EUR","-","13.83","15.5","-","-","-"
"Hennes & Mauritz AB B","0.24","EQUITY","HM B","Large Core","2006-06-30","2136108","211970","Consumer Cyclical","53257525","210.9","-2.4|-1.13%","213.3-210.5","1171876","279.9-199.6","Sweden","-0.55","-14.67","-6","0.62","394492.38","SEK","3","-13.89","18.48","-","-","-"
"Vivendi SA","0.24","EQUITY","VIV","Large Growth","2002-09-30","2372764","173847","Consumer Cyclical","52835569","19.62","-0.2|-1.03%","19.82-19.49","1538305","20.82-15.96","France","11.06","14.88","9.08","11.21","24764.17","EUR","3","12.05","56.65","-","-","-"
"Cie Generale des Etablissements Michelin SA","0.23","EQUITY","ML","Large Core","2012-06-30","393340","27083","Consumer Cyclical","52351331","115.45","0.65|0.57%","116.05-114.55","208264","123.85-89.53","France","-1.58","29.85","14.19","18.39","20651.61","EUR","2","11.68","11.97","-","-","-"
"Engie SA","0.23","EQUITY","ENGI","Large Value","2009-06-30","3445387","289150","Utilities","52003906","13.72","0.08|0.59%","13.78-13.59","2058201","14.94-10.77","France","9.19","-1.45","-5.45","1.8","32722.03","EUR","4","16.67","-","-","-","-"
"Continental AG","0.23","EQUITY","CON","Large Core","2010-06-30","239773","20725","Consumer Cyclical","51870189","191.7","-0.9|-0.47%","193.45-191.65","80293","210.35-158.2","Germany","-6.28","5.35","7.44","23.54","38521.15","EUR","2","7.16","13.67","-","-","-"
