"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"LG Chem Ltd","0.26","EQUITY","051910","Large Core","2016-05-31","10718","314","Basic Materials","2891284","327000","4000|1.24%","329500-319500","106017","338000-215500","South Korea","17.88","35.26","5.57","2.17","24745792","KRW","-","23.75","16.34","-","-","-"
"Cemex SAB de CV CPO Terms:2 Shs-A- & 1 Shs-B-","0.25","EQUITY","CEMEX CPO","Large Growth","2011-10-31","3422718","94100","Basic Materials","2830543","17.15","0.13|0.76%","17.17-16.87","49226271","20.04-13.66","Mexico","2.98","27.13","5.03","16.2","241142.58","MXN","-","7.84","19.18","-","-","-"
"Wal - Mart de Mexico SAB de CV Class V","0.25","EQUITY","WALMEX","Large Core","2011-10-31","1233900","43000","Consumer Defensive","2827660","41.59","-0.72|-1.7%","42.78-41.52","14494332","45-34.7","Mexico","-2.14","2.7","10.82","5.49","726219.75","MXN","-","17.09","25.47","-","-","-"
"Bank Rakyat Indonesia (Persero) Tbk Class B","0.25","EQUITY","BBRI","Large Core","2011-10-31","2592300","49600","Financial Services","2817083","-","-","-","-","-","-","12.4","30.95","11.52","19.04","357702848","IDR","-","27.87","13.53","-","-","-"
"Grupo Televisa SAB CPO Terms:25 Shs-A- + 35 Shs-L- + 35 Shs-D- + 22 Sh-B-","0.25","EQUITY","TLEVISA CPO","Large Growth","2011-10-31","573500","16000","Consumer Cyclical","2773998","94.97","1.25|1.33%","95-93.24","1099029","106.49-80.97","Mexico","4.37","-3.78","1.52","9.43","280451.69","MXN","-","10.17","66.7","-","-","-"
"Agricultural Bank of China Ltd H","0.25","EQUITY","01288","Large Value","2011-10-31","5708000","125000","Financial Services","2768829","3.66","0.04|1.11%","3.66-3.63","14366615","3.8-2.85","China","6.26","32.46","3.72","8.71","1378589.38","HKD","3","19.96","5.69","-","-","-"
"BMF Bovespa SA Bolsa Valores Merc Fut","0.25","EQUITY","BVMF3","Large Core","2011-10-31","484514","13300","Financial Services","2757999","20.7","-0.02|-0.1%","20.79-20.44","5308500","21.1-14.94","Brazil","9.25","10.3","19.19","14.39","42159.32","BRL","-","25.87","27.37","-","-","-"
"Maruti Suzuki India Ltd","0.24","EQUITY","MARUTI","Large Growth","2012-10-31","24632","386","Consumer Cyclical","2753393","7630.45","30.85|0.41%","7673.6-7584","459181","7683.4-4720.55","India","16.94","60.92","45.4","47.3","2302439","INR","-","43.44","30.69","-","-","-"
"China Merchants Bank Co Ltd Class H","0.24","EQUITY","03968","Large Value","2011-10-31","912846","23000","Financial Services","2741156","25.6","-","25.95-25.35","6061827","26.4-16.56","China","30.89","57.75","21.31","16.86","733657.31","HKD","3","45.43","8.79","-","-","-"
"KT&G Corp","0.24","EQUITY","033780","Large Value","2016-05-31","27408","762","Consumer Defensive","2717505","115500","-4000|-3.35%","119500-115000","172290","127500-94900","South Korea","17.73","0.9","10.72","10.54","15088683","KRW","-","18.32","13.88","-","-","-"
"China Overseas Land & Investment Ltd","0.24","EQUITY - REIT","00688","Large Value","2014-05-31","900000","20000","Real Estate","2702581","26.5","0.1|0.38%","26.6-26.3","2511331","27.85-20.15","China","18.67","4.7","8.11","10.48","289243.72","HKD","4","30.51","7.25","-","-","-"
"Tata Motors Ltd","0.24","EQUITY","TATAMOTORS","Large Core","2012-05-31","366121","8825","Consumer Cyclical","2702349","445.85","0.45|0.1%","447.45-442.45","3365171","598.4-417.25","India","-2.84","-12.04","-0.22","16.4","1422082.25","INR","4","-5.54","24.77","-","-","-"
"Ptt PLC Shs Foreign Registered","0.24","EQUITY","PTT-F","Large Value","2011-10-31","234100","9800","Energy","2701154","378","5|1.34%","380-378","295600","414-303","Thailand","-2.83","26.69","7.94","6.62","1108244.25","THB","-","15.48","9.37","-","-","-"
"MediaTek Inc","0.24","EQUITY","2454","Large Core","2011-10-31","353292","9000","Technology","2695767","268.5","2|0.75%","271-261","4788","274-203","Taiwan","26.5","12.5","-15.13","6.67","421632.81","TWD","2","26.79","16.04","-","-","-"
"Credicorp Ltd","0.24","EQUITY","BAP","Large Core","2011-10-31","15915","402","Financial Services","2671152","188.91","0.86|0.46%","188.95-187.14","156542","188.95-144.23","Peru","22.94","20.36","9.25","11.27","17829.76","USD","-","22.07","13.9","-","-","-"
"Nan Ya Plastics Corp","0.24","EQUITY","1303","Large Core","2011-10-31","1116860","28000","Basic Materials","2652971","75.4","-0.1|-0.13%","75.8-75.2","1463","80.2-59.4","Taiwan","10.04","30.51","6.08","9.98","598777","TWD","-","12.36","11.02","-","-","-"
"SK Holdings Co Ltd","0.24","EQUITY","034730","Large Growth","2016-05-31","10828","367","Technology","2645304","269500","2500|0.94%","270000-263000","21960","288500-204500","South Korea","10.1","29.52","16.75","23.06","14905103","KRW","-","16.34","22.86","-","-","-"
"CTBC Financial Holding Co Ltd","0.23","EQUITY","2891","Large Value","2011-10-31","4125826","126000","Financial Services","2621202","19.3","-0.2|-1.03%","19.5-19.3","4340","20.75-16.7","Taiwan","7.96","23.85","6.73","13.04","380191.31","TWD","-","15.3","12.11","-","-","-"
"Itausa Investimentos ITAU SA","0.23","EQUITY","ITSA4","Large Value","2011-10-31","939774","50418","Financial Services","2599230","9.24","-","9.26-9.17","22930000","10.52-7.86","Brazil","-6.42","20.1","10.43","11.17","67473.11","BRL","-","14.72","8.38","-","-","-"
"Magnit PJSC GDR","0.23","EQUITY","MGNT","Large Core","2012-06-30","71982","1938","Consumer Defensive","2573356","37.5","0.8|2.18%","37.94-34.29","1317888","45.22-33.17","Russia","7.94","-0.86","-13.71","7.48","15377.89","USD","-","-14.55","21.5","-","-","-"
"Tenaga Nasional Bhd","0.23","EQUITY","5347","Large Value","2011-10-31","797300","22500","Utilities","2566408","14.14","-0.02|-0.14%","14.18-14.1","212800","14.9-13","Malaysia","2.8","1.61","6.86","18.04","80131.66","MYR","-","3.09","11.54","-","-","-"
"Hana Financial Group Inc","0.23","EQUITY","086790","Large Core","2016-05-31","69408","1843","Financial Services","2545029","49900","-700|-1.38%","50800-49500","324623","52000-26300","South Korea","29.85","84.31","9.24","9.38","14977755","KRW","-","62.88","30.03","-","-","-"
